,RouteID,FromStop,ToStop,Departure,Arrival,TravelTimeMin
244,CR-Fitchburg,North Station,Waltham,2016-07-29 20:47:29,2016-07-29 21:08:01,20.533333333333335
245,CR-Fitchburg,North Station,Waltham,2016-08-01 17:36:59,2016-08-01 17:56:00,19.016666666666666
246,CR-Fitchburg,North Station,Waltham,2016-08-01 19:18:34,2016-08-01 19:37:23,18.816666666666666
247,CR-Fitchburg,North Station,Waltham,2016-08-02 17:02:48,2016-08-02 17:21:49,19.016666666666666
248,CR-Fitchburg,North Station,Waltham,2016-08-02 17:38:49,2016-08-02 17:56:07,17.3
249,CR-Fitchburg,North Station,Waltham,2016-08-02 17:57:34,2016-08-02 18:16:36,19.033333333333335
250,CR-Fitchburg,North Station,Waltham,2016-08-03 19:21:23,2016-08-03 19:36:54,15.516666666666667
251,CR-Fitchburg,North Station,Waltham,2016-08-04 19:18:52,2016-08-04 19:37:40,18.8
252,CR-Fitchburg,North Station,Waltham,2016-08-10 19:18:06,2016-08-10 19:37:08,19.033333333333335
253,CR-Fitchburg,North Station,Waltham,2016-08-11 20:48:00,2016-08-11 21:07:01,19.016666666666666
254,CR-Fitchburg,North Station,Waltham,2016-08-12 17:02:34,2016-08-12 17:21:36,19.033333333333335
